Date (GMT),Job Link,Origin URL,Room Details List Limit,Position,Room Name,Room Size,Room Type,Number of People,Room Cost,Number of People Range,City,Place,Phone Number (from Phone Number),Google Details,Captured Texts,Hotel Name,PDF,create pdf link,Google Link (from Google Link),Room Details List,Hotel Name (from Room Details List)
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,4,Spegelsalen,5M x 10M x 2M (WxLxH),Meeting Room,48,,21 - 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reciPZiGLOsDY2oN3,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,8,,,,,,1 - 10,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recm75hXLiSmSNswN,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
2023-06-16 11:39:39,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/495f3041-5228-44b6-842a-043e001d1677,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/berns-hotel?attendees=1&searchtype=1,10,3,Ljusgarden,6M x 19M x 2.5M (WxLxH),Meeting Room,70,,more than 50,Stockholm,2023-06-16 11:39:39,Sample Number +46 77 777 0002,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,2023-06-16 11:39:39,Berns Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recmR1SQxtRWre7pZ,https://www.google.com/maps/search/?api=1&query=Berns%20Hotel,,
2023-06-16 11:41:53,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/521e622b-b412-4484-8c74-9361e15487d6,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/eliteedenparkhotelstockholm?attendees=1&searchtype=1,10,1,MEETING ROOM 214,,Meeting Room,8,,1 - 10,Stockholm,2023-06-16 11:41:53,Sample Number +46 77 777 0008,https://www.google.com/maps/search/?api=1&query=Elite%20Eden%20Park%20Hotel%2C%20Stockholm,2023-06-16 11:41:53,"Elite Eden Park Hotel, Stockholm",,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rectOvmgNv2SklP8y,https://www.google.com/maps/search/?api=1&query=Elite%20Eden%20Park%20Hotel%2C%20Stockholm,,
2023-06-16 11:41:53,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/521e622b-b412-4484-8c74-9361e15487d6,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/eliteedenparkhotelstockholm?attendees=1&searchtype=1,10,2,SUITE 315,,Meeting Room,6,,1 - 10,Stockholm,2023-06-16 11:41:53,Sample Number +46 77 777 0008,https://www.google.com/maps/search/?api=1&query=Elite%20Eden%20Park%20Hotel%2C%20Stockholm,2023-06-16 11:41:53,"Elite Eden Park Hotel, Stockholm",,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recFz6SEZC0Jab380,https://www.google.com/maps/search/?api=1&query=Elite%20Eden%20Park%20Hotel%2C%20Stockholm,,
2023-06-16 11:41:53,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/521e622b-b412-4484-8c74-9361e15487d6,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/eliteedenparkhotelstockholm?attendees=1&searchtype=1,10,3,,,,,,1 - 10,Stockholm,2023-06-16 11:41:53,Sample Number +46 77 777 0008,https://www.google.com/maps/search/?api=1&query=Elite%20Eden%20Park%20Hotel%2C%20Stockholm,2023-06-16 11:41:53,"Elite Eden Park Hotel, Stockholm",,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recQTp0FiJ6kogI3F,https://www.google.com/maps/search/?api=1&query=Elite%20Eden%20Park%20Hotel%2C%20Stockholm,,
2023-06-16 11:41:45,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/5814db5c-96bb-4b0e-a5f4-ffe2558f26b7,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/elitehotelstockholmplaza?attendees=1&searchtype=1,10,1,CLUBRUMMET,,Meeting Room,10,,1 - 10,Stockholm,2023-06-16 11:41:45,Sample Number +46 77 777 0007,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,2023-06-16 11:41:45,Elite Hotel Stockholm Plaza,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recWKfr9chXTXK9Xw,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,,
2023-06-16 11:41:45,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/5814db5c-96bb-4b0e-a5f4-ffe2558f26b7,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/elitehotelstockholmplaza?attendees=1&searchtype=1,10,2,CLARA,,Meeting Room,20,,11 - 20,Stockholm,2023-06-16 11:41:45,Sample Number +46 77 777 0007,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,2023-06-16 11:41:45,Elite Hotel Stockholm Plaza,findammetingroom.pdf (https://v5.airtableusercontent.com/v1/18/18/1687197600000/KJcba7oNq3HwjSkQ0f4s6Q/nUOSJXJ1bV5GC8JtzwFagPaHabfawhXIFosxcnZp8qsLz_r8S7beIGaJXQHob5N8saUeK9iwRjmiTkER0QsX_mUx1Swt8T28i7SVO4edJKk/Y1Jy7GLbOhb3amTHZWq9E4bEIA7DSpnxcbhmRKYZkqQ),https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recKwhwViXKMyYni3,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,,
2023-06-16 11:41:45,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/5814db5c-96bb-4b0e-a5f4-ffe2558f26b7,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/elitehotelstockholmplaza?attendees=1&searchtype=1,10,4,,,,,,1 - 10,Stockholm,2023-06-16 11:41:45,Sample Number +46 77 777 0007,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,2023-06-16 11:41:45,Elite Hotel Stockholm Plaza,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec5Y9MHPRegRt1wo,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,,
2023-06-16 11:41:45,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/5814db5c-96bb-4b0e-a5f4-ffe2558f26b7,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/elitehotelstockholmplaza?attendees=1&searchtype=1,10,3,DAMBERG,,Meeting Room,20,,11 - 20,Stockholm,2023-06-16 11:41:45,Sample Number +46 77 777 0007,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,2023-06-16 11:41:45,Elite Hotel Stockholm Plaza,findammetingroom.pdf (https://v5.airtableusercontent.com/v1/18/18/1687197600000/NOor2xYV2L79LXfUN-TW6w/3N4QOGbI1CeASXeEV_XsYqHyhczjUqfrFFJ6u1ns2PWz7Z8q257yf6i9eo76iSG1pASL_RLj21xblf1C0oFDoumAYDTuVgk6m5nUErA9YlQ/M7591zKgYUG8w9eYj9IViht4LHBsFvNjRaZ4U2SY-Hg),https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec8EPjHfuktsFl5l,https://www.google.com/maps/search/?api=1&query=Elite%20Hotel%20Stockholm%20Plaza,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,7,Inspiration,3.83M x 8.12M x 2.52M (WxLxH),Meeting Room,15,kr13375/day,11 - 20,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recVTdjwi1GTE8yfr,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,9,Conference Floor,5M x 45M x 3M (WxLxH),Meeting Room,150,,more than 50,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec0ARCye96to1m9m,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,4,Wisdom,4.48M x 3.8M x 2.52M (WxLxH),Meeting Room,8,kr8375/day,1 - 10,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recuKtzzAoRF9kQB1,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,3,Balance,2.85M x 3.83M x 2.53M (WxLxH),Meeting Room,6,kr4875/day,1 - 10,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recHc0pP2WR2UXz9C,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,8,Energy,5.72M x 8.51M x 3.01M (WxLxH),Meeting Room,22,kr18250/day,21 - 50,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec4XYq78T9BxZogC,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,1,Harmony,3.41M x 3.82M x 2.52M (WxLxH),Meeting Room,5,kr4875/day,1 - 10,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec8E55NINtIbjeOJ,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,5,Courage,3.86M x 5.85M x 2.52M (WxLxH),Meeting Room,10,kr9875/day,1 - 10,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recatA77jq497LMf5,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,6,Clarity,4.02M x 7.47M x 2.52M (WxLxH),Meeting Room,15,kr13375/day,11 - 20,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recjpGFkh1d4UICJI,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,10,Opportunity,,Meeting Room,10,,1 - 10,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recljX11nj3yFPGS2,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
2023-06-16 11:39:33,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c60d7a76-cff2-4fa7-b595-d7576eba9400,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/freys-hotel?attendees=1&searchtype=1,10,2,Creativity,2.85M x 3.83M x 2.53M (WxLxH),Meeting Room,6,kr4875/day,1 - 10,Stockholm,2023-06-16 11:39:33,Sample Number +46 77 777 0001,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,2023-06-16 11:39:33,Freys Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recorNmU0gRubfHN0,https://www.google.com/maps/search/?api=1&query=Freys%20Hotel,,
