"city","street","address","location/lat","location/lng","reviewsCount","website","imageUrls/0","phone","description"
"Västra Frölunda","Skeppet Ärans Väg 23","Skeppet Ärans Väg 23, 426 71 Västra Frölunda, Sweden","57.685847","11.893782","964","http://www.dockyardhotel.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5EPSk55avUP-IkZdv7_k_feYWhQXvX7oq3KdgGqGlAZEJ6s8KWlRALlAqmo5BiDITjvaCO-VJZ4G1ZlXrA5liCqkQaglQxFysZJMECBWdjLWZV-_wfvaY_cI7zutt6C1jCKGUV9h-eJBEy95p6P7v90Mq0QMuwvBPE-TdLUKc8_totR0ANiQztEkw=w1920-h1080-k-no","+46 31 85 70 20","Relaxed hotel with simply furnished quarters, some with sea views, plus a restaurant & a cafe/bar."
"Gothenburg","Storgatan 33","Storgatan 33, 411 38 Göteborg, Sweden","57.700134","11.969975","552","http://www.hotelposeidon.com/?utm_source=gmb","https://lh3.googleusercontent.com/gps-proxy/AE4_-5FlTR3Ox2pyXbNOP1h9d18-9EIDzKbq8pZmPItzhtSF1wC96_qpvwaN8ksW713mmvRZowSEf7t6Yv4Nqsp8mFDEx313qQf7pstXWYCAiT5rPYdMYVEbbXJ_QTjaLKY2KX0lAk2kHfaOewjocIbo6GmPMlN6Ifvb19zYZSF8zUrARNGj_8r0qlFo=w1920-h1080-k-no","+46 31 10 05 50","Casual hotel offering warm rooms, plus a courtyard garden & a free breakfast buffet."
"Gothenburg","Vikingsgatan 7","Vikingsgatan 7, 411 04 Göteborg, Sweden","57.7135388","11.9712182","510","https://www.scandichotels.se/hotell/sverige/goteborg/scandic-goteborg-central","https://lh3.googleusercontent.com/gps-proxy/AE4_-5H-gFDcf2FxgK3gLaUpZOAmI2KhjcwNtA6F9kO_hQ3jpJMhnCd9itnRL3ihuRsNQsLzRxhHlx0LD5geX4-i_v9I_skMkwUAc5GSDSFkbDPQPiMsNW3Crp3qsUo_fwva8PcxaqLO8aqoSqyPe14cMYksUiaJBbAiZwef68lL2ObDUzNQKMih3LYiwQ=w1920-h1080-k-no","+46 31 751 56 00","Contemporary rooms & suites in a chic hotel featuring a cool restaurant & a rooftop bar.."
"Gothenburg","Sjöportsgatan 2","Sjöportsgatan 2, 417 64 Göteborg, Sweden","57.7012476","11.9150303","290","https://dialoghotels.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5ELQmdyp31p7AcaTgCqtrZHoV_HDBQ6Dm_zkyGC_IFtNE2Ysb6VSGBCv3itwWe4dHdexdWd0gHj6OzfUczRFn0MzoPPgLrXm0Hh3nPLV7TUst1sB9A5QECsDAlV3WfICUJSkPJ_yNZZiM-RIW-QfUT8tSD8htkjNomYBazLus5KpTIM02SwfmdpLA=w1920-h1080-k-no","+46 31 725 77 77","Laid-back property featuring a restaurant, a lounge & a terrace, plus river views."
"Gothenburg","Mässans Gata/Korsvägen","Mässans Gata/Korsvägen, 412 94 Göteborg, Sweden","57.6981636","11.9886386","5775","http://www.svenskamassan.se/","https://lh5.googleusercontent.com/p/AF1QipNUgT_stwLOBupukD2a_xRqQwMIiJjaCLFqZavd=w1920-h1080-k-no","+46 31 708 80 00","Convention center complex with exhibition halls & conference spaces, plus restaurants & a hotel."
"Gothenburg","Gullbergs Strandgata 15B","Gullbergs Strandgata 15B, 411 04 Göteborg, Sweden","57.7161111","11.9730556","231","https://ligula.se/goodmorninghotels/goteborg-city/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5EYogTnWBgR2bKvvCmgkTSaxHEk_7m5I2f5I2D-NVS3jWx1RrNFl874rkbKT843pCwdc-JDWogkrOIA2ijhWCe7CjtFlLhGvT90-HO3L147KZsDIFVUWJtyRMPAEqCAffAtkIcuuYSLkJ2qdTyYFVmeihyPIgsJ4Rmt6D8eIVQxNWtO4JkxV3cZ=w1920-h1080-k-no","+46 31 380 93 90","Snug rooms on a casual boat hotel, plus a free breakfast buffet & a laid-back restaurant."
"Gothenburg","Torpavallsgatan 6","Torpavallsgatan 6, 416 73 Göteborg, Sweden","57.7249947","12.0332765","842","http://www.applehotel.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5GWSA9t_F712mpFU19fuBxt93bhqPM3AJeVVaoWdo6GC7zAVVxxcgkfhKTIjXE-IY3yzFZDEtmgPYRhph5NVxQ0yg_VE3vFmBpVGbZnz0kKJZLCKqNevDC1u6ANcfknZ5EsbqUsGPeo6kTAtXfO59k6RdcvOY9Ssqx4evXu35CA_rjerAbnx51U=w1920-h1080-k-no","+46 31 25 11 00","Relaxed hotel featuring an outdoor pool & a gym, plus free parking, breakfast & dinner."
"Gothenburg","Eklandagatan 51-53","Eklandagatan 51-53, 412 61 Göteborg, Sweden","57.6895891","11.9875974","1714","https://www.strawberry.se/hotell/sverige/goteborg/quality-hotel-panorama/?utm_campaign=gmb-listing&utm_medium=organic&utm_source=google","https://lh3.googleusercontent.com/gps-proxy/AE4_-5G8ZLXUPRQmop48oyB9dgGZ3Og1bdiiRlNxVO9Q0hBr5DSlbgGKH8ZZkktO0nMcCV--f_e4xdpd_QjC9mkSERh-Lcdf8rBpbYrydpAC1kNlkHOvmCPQSIk48JDOqcLuL5X-4fu64bSL5toglAB-DOw1db8JBOEfDerija_Ttvw04cH5hWmhwns=w1920-h1080-k-no","+46 31 767 70 00","Informal hotel featuring a hip restaurant/bar, a hot tub & a gym, plus free Wi-Fi & breakfast."
"Kungälv","Gamla torget 2","Gamla torget 2, 442 31 Kungälv, Sweden","57.8647","11.9956754","1360","https://dialoghotels.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5GMCD9xKMEqsl7rD4uV9AiQEDV984CHujBpzr8t9BEUAJkcVtQ2GOuu1fN6demPBHhA90ab4lH1sAXhvc3_no1TCzu2abFMNTv1ywxacq4JpIoWFDdDqWkrwapjP0PkFsPsej-rke6cODLvdw77LPgjymJ4Rg_baSRg_TEsA-7FWLE6W7EyJN4H=w1920-h1080-k-no","+46 303 109 70","Casual riverfront hotel in a 17th-century building offering a restaurant, an outdoor pool & a sauna."
"Hisings Backa","Gamla Lillhagsvägen 127","Gamla Lillhagsvägen 127, 422 49 Hisings Backa, Sweden","57.745773","11.9521743","247","https://www.treetopspa.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5EiIG_qG-SgmgvU_-vWMVqVLywYOQ95VgnwZNKtgEwpmwpepAl7r3KYtTvom5KUm1Ewgj45oVatFxWtC5-sZwx6UUMyOFNhsqrwVQ5bs1RTJZQF-98UGDhntstpJsOg1ixT6Ofezrx_5PjzMF0FMpr4MTsJoiaR9MQv1U0DKMYFJwGYTio5zRrM=w1920-h1080-k-no","+46 31 55 39 81","Casual spa hotel featuring hot tubs & saunas, plus a British pub & a rooftop bar with city views."
"Gothenburg","Drottninggatan 9","Drottninggatan 9, 411 14 Göteborg, Sweden","57.7051099","11.9638326","9","https://gyllensvardcramer.com/","https://lh5.googleusercontent.com/p/AF1QipPDQ1kPHUttNVLw9KY_wzNLStPmdusORxp-CRt6=w1920-h1080-k-no","+46 70 713 77 33",
"Gothenburg","Kustgatan 10","Kustgatan 10, 414 55 Göteborg, Sweden","57.6938075","11.917567","334",,"https://lh5.googleusercontent.com/p/AF1QipONiuvFJ2F-7WAS95cvvhfHAYuspqqXXUP5CHxU=w1920-h1080-k-no","+46 31 367 19 00","Cozy rooms in a casual hotel with a gym & a restaurant, plus event & meeting rooms."
"Västerås","Munkgatan 7","Munkgatan 7, 722 12 Västerås, Sweden","59.6091319","16.5496884","0","http://www.vasteraskongress.se/","https://lh5.googleusercontent.com/p/AF1QipNEuLQJ5Wc67B59NemtjleSAVJZXI03h8aJ8h3Y=w1920-h1080-k-no","+46 21 495 98 00",
"Katrineholm","Storgatan 20","Storgatan 20, 641 45 Katrineholm, Sweden","58.9972917","16.2093205","594","http://www.hotelstatt.se/","https://lh5.googleusercontent.com/p/AF1QipPlep9qUPZhk8qI6k6PBDL5wB_cxICO6odFxyE=w1920-h1080-k-no","+46 150 504 40","Unfussy hotel offering a bar, 2 restaurants & a sauna, as well as an exercise room & free Wi-Fi."
"Torshälla","Zetheliusvägen 3","Zetheliusvägen 3, 644 31 Torshälla, Sweden","59.4234838","16.4610138","18","http://www.nybyherrgard.se/","https://lh5.googleusercontent.com/p/AF1QipPTExpByql-vIMcV5WQFmhDw6McjQPQTMBvz5et=w1920-h1080-k-no","+46 16 51 30 80",
"Gothenburg","Mässans gata 10","Mässans gata 10, 412 94 Göteborg, Sweden","57.698018","11.9871618","5","https://meetx.se/","https://lh5.googleusercontent.com/p/AF1QipNlsmfhPSQEHiwx2OeVi0D7TN94wnFK28m2QrFV=w1920-h1080-k-no","+46 31 708 86 90",
"Gothenburg","Krutvägen 2","Krutvägen 2, 415 28 Göteborg, Sweden","57.738209","12.0336461","911","https://www.kvibergparkhotell.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5FbJ94wHr9UkXeO4R6wPsn5V6uMkhTZqDEtJe9oTCC4TyT5f1pmCK21Ym8t0zpGNmHngJwDtPv_gy82eHwZ78kkjp2AJ_Ff-9BaG0OgAuDm8API_g5Oma-Dek8H_EX3zd9nE8rN8KOjERVOI3yCe7nPFxvVDyJduToSe3wClyAN5H3pwodRnPT7=w1920-h1080-k-no","+46 31 395 11 00","Contemporary conference hotel featuring an Italian restaurant, plus free breakfast & Wi-Fi."
"Gothenburg","Viktoriagatan 6","Viktoriagatan 6, 411 25 Göteborg, Sweden","57.6989176","11.9653024","473","http://www.hotelvasa.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5HWhYbPXpiTetBCIKDv5NDFyNyTqStb5j7FsxoVS4CyKMFRe_0p3_Y4CdWobO_6cS2TNzsGz1Ey3kLeg6UeoiJFlDcCGnWgrz4Di3fpl8doC3CT_7Q6Lwe_KAvETncoz7yLDRtE1oR2akIS22FXXtDIzrMYQGMd7VlNzU-VQ8Up697VOaSoClkDrg=w1920-h1080-k-no","+46 31 17 36 30","Unfussy hotel featuring a lounge & a sauna, plus complimentary breakfast, afternoon waffles & Wi-Fi."
"Gothenburg","Viktor Rydbergsgatan 10","Viktor Rydbergsgatan 10, 411 32 Göteborg, Sweden","57.6955182","11.9773399","1","https://www.gogetcorp.com/","https://lh5.googleusercontent.com/p/AF1QipNrg96yDF0Z8CQgypZX3fYW3uW0TuuZeLa4CYOZ=w1920-h1080-k-no",,
"Mölndal","Östergårdsgatan 8","Östergårdsgatan 8, 431 53 Mölndal, Sweden","57.6399685","11.9877905","11","http://www.informationsteknik.se/","https://lh5.googleusercontent.com/p/AF1QipOGyVTLr44GUN6_txqv8AHi7DIrh40qkNLT0UGH=w1920-h1080-k-no","+46 31 709 84 70",
"Mölndal","Göteborgsvägen 91","Göteborgsvägen 91, 431 37 Mölndal, Sweden","57.6680414","12.0107871","584","https://www.strawberry.se/hotell/sverige/goteborg/quality-hotel-the-weaver/?utm_campaign=gmb-listing&utm_medium=organic&utm_source=google","https://lh5.googleusercontent.com/p/AF1QipOc-8dXQ-d2CtZ8zCw6oSFM7iUeqbSVhHKgzmyY=w1920-h1080-k-no","+46 31 304 80 50","Sleek rooms & suites in an upmarket hotel offering French dining, a bar & a gym, plus meeting space."
"Gothenburg","Östra Hamngatan 17","Östra Hamngatan 17, 411 10 Göteborg, Sweden","57.7083697","11.9667531","19","https://www.regus.com/sv-se/sweden/gothenburg/ostra-hamngatan-17-4624?utm_source=yext_places_gmb&utm_medium=places&utm_campaign=yext_traffic&utm_content=4624","https://lh5.googleusercontent.com/p/AF1QipM4WgQGzOf3bNKkuq0iKk0r3EN6C-FOP2wtVt3W=w1920-h1080-k-no","+46 31 375 86 00",
"Gothenburg","Grönsakstorget","Grönsakstorget, 411 17 Göteborg, Sweden","57.702815","11.9657287","0","http://www.floraworkspace.se/","https://lh5.googleusercontent.com/p/AF1QipPrZaTCdf01FYDzTNmLqpqXwv5BZhkT2C75TjX2=w1920-h1080-k-no","+46 31 13 86 16",
"Gothenburg","Odinsgatan 13","Odinsgatan 13, 411 03 Göteborg, Sweden","57.7087801","11.9811369","1","https://www.regus.com/sv-se/sweden/gothenburg/odinsgatan-13-4373?utm_source=yext_places_gmb&utm_medium=places&utm_campaign=yext_traffic&utm_content=4373","https://lh5.googleusercontent.com/p/AF1QipNXpfiD-aS8YbPhf679EhxqcfWXUujOS3TJxhQc=w1920-h1080-k-no","+46 31 310 46 00",
"Gothenburg","Kungsportsavenyen 21","Kungsportsavenyen 21, 411 36 Göteborg, Sweden","57.7001628","11.9747571","134","https://convendum.se/sv/coworking-space/coworking-space-goteborg/kungsportsavenyn-21/?utm_campaign=Google-my-business&utm_source=Google-my-business&utm_medium=Organic%20search&utm_content=AV21","https://lh5.googleusercontent.com/p/AF1QipPXQJuXQdWXmnSsBGBLU0jBDG1KvgOkLkqw75ym=w1920-h1080-k-no","+46 10 510 08 88",
"Gothenburg","Kyrkogatan 30","Kyrkogatan 30, 411 15 Göteborg, Sweden","57.70495","11.9656243","2",,"https://lh5.googleusercontent.com/p/AF1QipOnOGcrpgF7dYNzGpQwDzCSMaNY56SMMJv8T5LS=w1920-h1080-k-no","+46 31 799 78 78",
"Gothenburg","Masthamnsgatan 3","Masthamnsgatan 3, 413 27 Göteborg, Sweden","57.7007038","11.949836","3","https://mindpark.se/goteborg/","https://lh5.googleusercontent.com/p/AF1QipMKcfDd_fvMA0dIN68oQyI7Wwo8d6TLFkdiQoK8=w1920-h1080-k-no","+46 31 320 44 86",
"Gothenburg","Chalmersplatsen 1","Chalmersplatsen 1, 412 58 Göteborg, Sweden","57.6891622","11.9740623","207","https://chalmerskonferens.se/sv/konferens/chalmers-conference-centre/","https://lh5.googleusercontent.com/p/AF1QipOLDMLQA_3iwz__RTMKgho9d8EePnJCS-kceytP=w1920-h1080-k-no","+46 31 772 39 50",
"Gothenburg","Fabriksgatan 7, 3rd Floor","Fabriksgatan 7, 3rd Floor, 412 50 Göteborg, Sweden","57.7060158","11.9912898","12","https://www.regus.com/sv-se/sweden/gothenburg/fabriksgatan-7-572?utm_source=yext_places_gmb&utm_medium=places&utm_campaign=yext_traffic&utm_content=572","https://lh5.googleusercontent.com/p/AF1QipNuKjJNI8jGDa2bzod6Mwg_qQ6sqQTsTFmSMW8l=w1920-h1080-k-no","+46 31 799 00 00",
"Gothenburg","Theres Svenssons gata 13","Theres Svenssons gata 13, 417 55 Göteborg, Sweden","57.7066638","11.9437675","10","https://www.spacesworks.com/sv/gothenburg/brygghuset?utm_source=yext_places_gmb&utm_medium=places&utm_campaign=yext_traffic&utm_content=4992","https://lh5.googleusercontent.com/p/AF1QipMzZ-BtI9-eViEvx9qtlh5ykBE-VTAe_34FFzgi=w1920-h1080-k-no","+46 31 310 26 00",
"Gothenburg","Lindholmspiren 5","Lindholmspiren 5, 417 56 Göteborg, Sweden","57.7071432","11.9400314","340","https://chalmerskonferens.se/sv/konferens/lindholmen-conference-centre/","https://lh5.googleusercontent.com/p/AF1QipMyoZJNk5L8v0jlMrHM_y_hvLRw6PfhkKVar_eY=w1920-h1080-k-no","+46 31 772 39 50",
"Gothenburg","Östra Hamngatan 16","Östra Hamngatan 16, 411 09 Göteborg, Sweden","57.7095289","11.9670015","51","http://www.unitedspaces.com/sv/goteborg/","https://lh5.googleusercontent.com/p/AF1QipMWvlK8Ja1sdyKWC21PQnLx9zS9KH7i8SRqQtxC=w1920-h1080-k-no","+46 31 308 26 00",
"Gothenburg","Pumpgatan 1","Pumpgatan 1, 417 55 Göteborg, Sweden","57.7119327","11.9460444","5","https://www.unitedspaces.com/location/lindholmen","https://lh5.googleusercontent.com/p/AF1QipPiAXs6ILdM7Dc-Q98Mfs9bBjs5pi4NlbhutX4_=w1920-h1080-k-no","+46 31 792 20 50",
"Vidsel","105","Bredsel 105, 942 95 Vidsel, Sweden","65.8566667","20.4238888","1349","http://www.storforsen.se/","https://lh5.googleusercontent.com/p/AF1QipOOeRnlZexUau3Ke4UE4KU8-wio9gKPCKF1oAt5=w1920-h1080-k-no","+46 929 721 00","Relaxed riverfront property offering a restaurant & a hot tub, plus free Wi-Fi & parking."
"Sigtuna","Stora Brännbovägen 2","Stora Brännbovägen 2, 193 33 Sigtuna, Sweden","59.6197222","17.7113889","334","http://www.storabrannbo.se/","https://lh5.googleusercontent.com/p/AF1QipPtzsBaNXdgbFpIJRNcWLA2mehAiMVc8dTgeQu2=w1920-h1080-k-no","+46 8 592 575 00","Modern lodging with meeting facilities, a fitness center & a spa, plus an upscale restaurant & bar."
"Uppsala","Storgatan 30","Storgatan 30, 753 31 Uppsala, Sweden","59.8600991","17.6468067","532","https://www.radissonhotels.com/en-us/hotels/park-inn-uppsala","https://lh3.googleusercontent.com/gps-proxy/AE4_-5HSV9p1DZJ5f41QXy_wS8qJxmW1JOxb6ljgrl_axvrVgCniq43V2d0GM2C-Ad3hZj_xmsf73793S58DD54PblURrzTFpz487DHfl96Uv7b3Gu4u8HNY7kaLHfGY09zgoAu6ov6O4i0ylQROHv7mXBeBgHgb8GQWqn_99nVaog9GXp3ovhwb_h2d=w1920-h1080-k-no","+46 18 68 11 00","Casual hotel featuring a bar/restaurant, event space & saunas, plus free breakfast & Wi-Fi."
"Köping","Östra Långgatan 27","Östra Långgatan 27, 731 30 Köping, Sweden","59.509901","15.9992074","380","http://www.gilletkoping.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5G5RSKl82v2-AEFRw9d-djxo1u0HmeKuSslye4E5277JpUry3duLZARe7ZPFCPe_sstgi4qB9gCH1wWjaD5UwIUuGNuGeR2vJYqob-E4IrkQnM2pgXElovtzY5OxWyzqbOUiWGK1gXG5zThUhC7zZe_caR_rFPig5LwDjOw-oEk1LvjLcJ8OMgJHw=w1920-h1080-k-no","+46 221 212 90","Low-key rooms in a simple hotel with a warm restaurant & modern meeting rooms."
"Köping","Hultgrensgatan 10","Hultgrensgatan 10, 731 50 Köping, Sweden","59.5111404","15.984507","478","https://www.bestwestern.com/en_US/book/hotel-details.88142.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:88142","https://lh3.googleusercontent.com/gps-proxy/AE4_-5FoxsWpave7nMgapMSzEUSajd_Q_XST7BNRjJiTwxC4VR8np9Pr52l-cnEx_qz0VYmhIOdWZ7YgOyRJMKsBzd40KM7LN-ZLfXkI0uZ49AS9dpp1ImmlKdP0oMkYtREa9M5k7BWDqMbLBXyTfVXsQMRPm8rTByl_07hD336iGOaiHIIQCRXPWLi-=w1920-h1080-k-no","+46 221 181 20","Down-to-earth property with free parking, plus a sauna, a fitness center & meeting rooms."
"Kungsör","Charlottenborgsvägen 30","Charlottenborgsvägen 30, 736 32 Kungsör, Sweden","59.4315187","16.0901862","332","http://www.kungsorstorp.se/","https://lh5.googleusercontent.com/p/AF1QipNMKhQJ0k8blBjv35jVSaFwjMkzxwweQ5qg0tV_=w1920-h1080-k-no","+46 227 130 60","Cozy quarters, some with whirlpool tubs, in a relaxed lakefront hotel offering dining & sports."
"Enköping","Kyrkogatan 7","Kyrkogatan 7, 745 31 Enköping, Sweden","59.637364","17.080463","597","https://www.bestwestern.se/booking-path/hotel-details/best-western-hotel-park-astoria-enkoping-88227","https://lh5.googleusercontent.com/p/AF1QipPexUKcEbjAXZqDhPrjpzakT8uPgTOimZEWQbLG=w1920-h1080-k-no","+46 171 47 80 80","Unpretentious property offering a restaurant, a bar & a sauna, plus complimentary breakfast."
"Uppsala","S:t Eriks torg 8","S:t Eriks torg 8, 753 10 Uppsala, Sweden","59.8591027","17.6333448","39","http://www.hyllan.se/","https://lh5.googleusercontent.com/p/AF1QipMp4uT4vsbXW8-M1ZV6XGbhbL5tWhaji4OYqWXy=w1920-h1080-k-no","+46 18 15 01 50",
"Knivsta","Gredelbyvägen 138","Gredelbyvägen 138, 741 71 Knivsta, Sweden","59.7398227","17.8152752","331","http://www.novapark.se/","https://lh3.googleusercontent.com/gps-proxy/AE4_-5E0G__QI4tiY_ZFtbEsoYrnKP2XwZuBL_iGn4ddKFQjQkoPJN_tjhHis-aU_gtVYnRnyEtZabDHfBZeOjxhUVOwjSkrX3YN16qjkH7rEXY1mtCFqDZX1_mOK3YYBOfO29Z9JqA78n9ZhGymJ9RiG9VxL_2Sn0IXynhBbs6oJ6p5BmoMD-b_sCki=w1920-h1080-k-no","+46 18 34 90 00","Elegant lodging offering free breakfast, event space, an ice bar & a spa with whirlpool tubs."
"Uppsala","Kungsgatan 62","Kungsgatan 62, 753 18 Uppsala, Sweden","59.8543742","17.651868","15","http://www.technosite.se/","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V3acgg38xTldscMtonYZcw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.93869&pitch=0&thumbfov=100","+46 18 18 66 00",
"Västerås","Metallverksgatan 2","Metallverksgatan 2, 721 30 Västerås, Sweden","59.6161684","16.5595614","184","http://valsaren.se/","https://lh5.googleusercontent.com/p/AF1QipOgUDe1IUdTPyy5ElGjQwbxbQygdEGQ0y_ja9j2=w1920-h1080-k-no","+46 21 18 45 30","Simple rooms with minifridges & microwaves in a laid-back hotel offering dining & meeting space."
"Västerås","Sigurdsgatan 23","Sigurdsgatan 23, 721 30 Västerås, Sweden","59.6067942","16.5528982","767","https://www.strawberry.se/hotell/sverige/vasteras/comfort-hotel-vasteras/?utm_campaign=gmb-listing&utm_medium=organic&utm_source=google","https://lh5.googleusercontent.com/p/AF1QipPetXzBtK-qsekpV22kJcT-zr0gcXsx_Fo1irNC=w1920-h1080-k-no","+46 21 580 10 10","Simple rooms in a straightforward hotel offering complimentary breakfast, a bar & a gym."
"Västerås","Vasagatan 22","Vasagatan 22, 722 15 Västerås, Sweden","59.6116676","16.5451908","207",,"https://lh3.googleusercontent.com/gps-proxy/AE4_-5E0X6SVsoSv9jrxnVED8X-39MqsFaEOXgAl6xR2pmFNnbH1ES0Z2ziOBSfwsAsEW6a75U4CX9OdtqUMpJ2wKoJZyMNJmB-K-HZVHUkY5bSxGpH0IDZR7x91OvvZRZXrf7FuMJNIXbGWEbaMwQTJ0eqgsx49xtSiUrC7ltMpexXIrf5RtBjlrKI=w1920-h1080-k-no","+46 21 18 03 30","Unassuming rooms in a simple hotel offering a communal kitchen, plus breakfast & Wi-Fi."
"Stockholm-Arlanda","Pelargången 1","Pelargången 1, 190 45 Stockholm-Arlanda, Sweden","59.6493429","17.9299258","0","https://www.radissonhotels.com/en-us/hotels/radisson-blu-stockholm-airport/meeting-events?ombt-open?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:nob+t:rm+h:SESTOTER","https://lh5.googleusercontent.com/p/AF1QipMzQOmYMAqJAC8QjRhuVkjoAieuPiYMEMox5KyZ=w1920-h1080-k-no","+46 8 506 740 40",
